['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'NewRecovered', 'ActiveCases']
['World', '107,861,936', '+25,560', '2,365,119', '+1,660', '80,027,727', '+37,283', '25,469,090', '101,449']
['Martinique', '6,553', '', '45 ', '', '98']
['Nicaragua', '6,347', '', '171 ', '', '4,225']
['Iceland', '6,026', '', '29 ', '', '5,973']
['Djibouti', '5,962', '', '63 ', '', '5,854']
['Equatorial Guinea', '5,658', '', '87 ', '', '5,413']
['Togo', '5,606', '', '80 ', '', '4,696']
['CAR', '4,989', '', '63 ', '', '4,885']
['South Sudan', '4,960', '', '71 ', '', '3,729']
['Somalia', '4,935', '', '139 ', '', '3,720']
['Niger', '4,656', '', '167 ', '', '4,007']
['Curaçao', '4,628', '', '22 ', '', '4,547']
['Benin', '4,560', '', '56 ', '', '3,772']
['Gambia', '4,302', '', '135 ', '', '3,891']
['Gibraltar', '4,197', '', '83 ', '', '4,010']
['Channel Islands', '3,950', '', '83 ', '', '3,488']
['Sierra Leone', '3,803', '', '79 ', '', '2,508']
['Chad', '3,568', '', '126 ', '', '3,062']
['San Marino', '3,213', '', '71 ', '', '2,897']
['Comoros', '3,209', '', '120 ', '', '2,581']
['Guinea-Bissau', '2,826', '', '46 ', '', '2,432']
['Liechtenstein', '2,532', '', '52 ', '', '2,457']
['Eritrea', '2,418', '', '7 ', '', '1,824']
['New Zealand', '2,324', '', '25 ', '', '2,245']
['Mongolia', '2,207', '+33', '2 ', '', '1,618']
['Saint Lucia', '2,137', '', '22 ', '', '1,403']
['Yemen', '2,133', '', '616  ', '', '1,428']
['Vietnam', '2,091', '', '35 ', '', '1,480']
['Sint Maarten', '1,972', '', '27 ', '', '1,828']
['Liberia', '1,956', '', '84 ', '', '1,770']
['Barbados', '1,857', '', '20 ', '', '1,504']
['Turks and Caicos', '1,784', '', '10 ', '', '1,379']
['Seychelles', '1,768', '', '7 ', '', '1,215']
['Burundi', '1,751', '', '3 ', '', '773']
['Monaco', '1,717', '', '19 ', '', '1,435']
['Sao Tome and Principe', '1,430', '', '18 ', '', '1,079']
['Saint Martin', '1,408', '', '12 ', '', '1,050']
['St. Vincent Grenadines', '1,340', '', '6 ', '', '454']
['Taiwan', '935', '', '9 ', '', '853']
['Papua New Guinea', '900', '', '9 ', '', '846']
['Bhutan', '861', '', '1 ', '', '854']
['Diamond Princess', '712', '', '13 ', '', '699']
['Bermuda', '694', '', '12 ', '', '673']
['Faeroe Islands', '657', '', '1 ', '', '652']
['Mauritius', '595', '', '10 ', '', '546']
['Tanzania', '509', '', '21 ', '', '183']
['Cambodia', '478', '', ' ', '', '457']
['St. Barth', '455', '', '1 ', '', '247']
['Isle of Man', '436', '', '25 ', '', '406']
['Cayman Islands', '408', '', '2 ', '', '377']
